"IDmaster","habit","accepted_taxon_name","accepted_genus_name","accepted_family_name","sla","la","seed","leafnitro","wd"
630,"passive","Strychnos tricalysioides","Strychnos","Loganiaceae",NA,NA,NA,NA,NA
631,"active","Synclisia scabrida","Synclisia","Menispermaceae",NA,NA,NA,NA,NA
632,"active","Tanaecium bilabiatum","Tanaecium","Bignoniaceae",NA,NA,NA,NA,NA
633,"active","Tanaecium duckei","Tanaecium","Bignoniaceae",NA,NA,NA,NA,NA
634,"active","Fridericia mutabilis","Fridericia","Bignoniaceae",NA,NA,NA,NA,NA
635,"active","Tanaecium pyramidatum","Tanaecium","Bignoniaceae",NA,73.64,NA,NA,NA
636,"active","Tanaecium selloi","Tanaecium","Bignoniaceae",38.45365872,79.92,430,46.47,0.38
637,"active","Tanaecium tetragonolobum","Tanaecium","Bignoniaceae",NA,56.56,72.09,NA,NA
638,"active","Tanaecium truncatum","Tanaecium","Bignoniaceae",NA,NA,NA,NA,NA
639,"active","Tanaecium xanthophyllum","Tanaecium","Bignoniaceae",NA,NA,NA,NA,NA
640,"active","Telitoxicum krukovii","Telitoxicum","Menispermaceae",NA,NA,NA,NA,NA
641,"active","Telitoxicum minutiflorum","Telitoxicum","Menispermaceae",NA,NA,NA,NA,NA
642,"active","Telitoxicum peruvianum","Telitoxicum","Menispermaceae",NA,NA,NA,NA,NA
643,"active","Tetracera akara","Tetracera","Dilleniaceae",NA,NA,NA,NA,NA
644,"active","Tetracera alnifolia","Tetracera","Dilleniaceae",NA,84,50.96,NA,NA
645,"active","Tetracera asperula","Tetracera","Dilleniaceae",NA,NA,NA,NA,NA
646,"active","Tetracera hydrophila","Tetracera","Dilleniaceae",NA,53.56,NA,NA,NA
647,"active","Tetracera macrophylla","Tetracera","Dilleniaceae",NA,NA,NA,NA,NA
648,"active","Tetracera nordtiana","Tetracera","Dilleniaceae",NA,52.33,NA,NA,NA
649,"active","Tetracera parviflora","Tetracera","Dilleniaceae",NA,NA,NA,NA,NA
650,"active","Tetracera volubilis","Tetracera","Dilleniaceae",NA,47.93,16.73,17.57,NA
651,"active","Tetracera willdenowiana","Tetracera","Dilleniaceae",NA,NA,NA,NA,NA
